,Hospital.Name,Address,Phone.Number,City,ZIP.Code,Price.Score,Performance.Score
1,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,2125614132,NEW YORK,10016,0.92,69.41176471
2,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,2124918400,NEW YORK,10037,0.99,60.53921569
3,HOSPITAL FOR SPECIAL SURGERY,535 EAST 70TH STREET,2126061000,NEW YORK,10021,1,87.69607843
4,LENOX HILL HOSPITAL,100 EAST 77TH STREET,2124392345,NEW YORK,10021,0.99,69.33333333
5,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,2124236262,NEW YORK,10029,0.89,67.26470588
6,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,FIRST AVENUE AT 16TH STREET,2124202000,NEW YORK,10003,1.03,69.81372549
7,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,2122417981,NEW YORK,10029,0.98,74.19607843
8,N Y EYE AND EAR INFIRMARY,230 SECOND AVE,2129794000,NEW YORK,10003,NA,93.12121212
9,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,2127464189,NEW YORK,10021,0.98,75.33333333
10,NYU HOSPITALS CENTER,550 FIRST AVENUE,2122637300,NEW YORK,10016,1.01,76.61764706
11,ROCKEFELLER UNIVERSITY HOSPITAL,1230 YORK AVENUE,2125708000,NEW YORK,10021,NA,NA
12,ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,2125234000,NEW YORK,10019,0.96,67.88235294